artist,title,isrc,duration
Ed Sheeran,Shape of You,,233
Ed Sheeran,Shape of You (Latin Remix),GBAHS1700245,237
"Ed Sheeran with Kranium, Nyla, Major Lazer",Shape of You,GBAHS1700228,
Ed Sheeran,Shape of You (Acoustic),,223
Muse,Supremacy,GBAHT1200389,295
Mose,Supremacy,GBAHT1500513,
Muse,Supremacy,GBAHT1326121,
Miles Davis,Freddie Freeloader,USSM15900114,580
Miles Davis,Freddie Freeloader,FR6V81367550,
Miles Davis,Fredie Freeloader,DEPZ69005640,583
Miles Davis,Freddie Freeloader (Album Version),USSM15900114,401
